City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Santa Rosa,PH,82.4,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
23,Puerto Ayora,EC,82.4,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
24,Saint George,US,82.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
40,Hilo,US,84.2,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
46,Buchanan,LR,80.6,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
49,Muli,MV,83.05,clear sky,2.9167,73.5667,Medhufushi Island Resort
54,Hithadhoo,MV,83.52,overcast clouds,-0.6,73.0833,Scoop Guest House
65,Thayetmyo,MM,83.62,clear sky,19.3167,95.1833,Htarwaya Thitsar Guest House
75,Kalmunai,LK,80.19,broken clouds,7.4167,81.8167,VS Villa
76,Coahuayana,MX,84.2,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
90,Panama City,PA,87.8,scattered clouds,8.9936,-79.5197,Hotel Riande Granada Urban
98,Butaritari,KI,83.21,light rain,3.0707,172.7902,Isles Sunset Lodge
103,Avarua,CK,82.4,scattered clouds,-21.2078,-159.775,Paradise Inn
104,Natchez,US,84.2,clear sky,31.5604,-91.4032,Hampton Inn & Suites Natchez
107,Kodinar,IN,81.66,overcast clouds,20.7903,70.7031,residency of N.B vadhel
119,Petersburg,US,84.0,scattered clouds,37.2279,-77.4019,Hilton Garden Inn Richmond South/Southpark
122,Salalah,OM,84.2,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
129,Kirakira,SB,81.01,overcast clouds,-10.4544,161.9205,SanBiz Lodge
148,Kavieng,PG,82.58,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
155,Miramar,US,88.0,few clouds,25.9873,-80.2323,Miramar
162,Alofi,NU,82.4,broken clouds,-19.0595,-169.9187,Taloa Heights
166,Rabak,SD,88.7,overcast clouds,13.1809,32.74,فندق ربك Rabak Hotel
173,Nioro,GM,84.15,scattered clouds,13.35,-15.75,
178,Nushki,PK,80.69,scattered clouds,29.5542,66.0215,Jahangir Hotel Noshki
