City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,76.48,68,99,10.13,light rain
1,Chuy,UY,-33.6971,-53.4616,60.96,70,0,3.15,clear sky
2,Punta Arenas,CL,-53.15,-70.9167,41.0,87,90,8.05,light rain
3,Kahului,US,20.8947,-156.47,75.2,94,40,13.8,light rain
4,Santa Rosa,PH,14.3122,121.1114,82.4,78,20,3.44,few clouds
5,Hobart,AU,-42.8794,147.3294,53.6,94,75,8.05,mist
6,Port Alfred,ZA,-33.5906,26.891,64.45,75,100,12.41,light rain
7,Hermanus,ZA,-34.4187,19.2345,55.99,74,80,4.0,broken clouds
8,Ribeira Grande,PT,38.5167,-28.7,59.0,72,20,9.22,few clouds
9,Ushuaia,AR,-54.8,-68.3,42.8,56,20,5.75,few clouds
10,Cape Town,ZA,-33.9258,18.4232,57.0,82,0,5.75,clear sky
11,Mar Del Plata,AR,-38.0023,-57.5575,71.6,60,0,17.27,clear sky
12,Kaputa,ZM,-8.4689,29.6619,68.76,85,100,3.53,overcast clouds
13,Thunder Bay,CA,48.4001,-89.3168,57.99,41,75,14.97,broken clouds
14,Esperance,AU,-33.8667,121.9,59.0,88,90,17.27,light rain
15,Albany,US,42.6001,-73.9662,57.0,90,100,2.42,light rain
16,Grand Gaube,MU,-20.0064,57.6608,73.99,90,17,5.01,moderate rain
17,Bluff,NZ,-46.6,168.3333,53.01,84,77,11.99,broken clouds
18,Qaanaaq,GL,77.484,-69.3632,26.8,74,90,7.29,overcast clouds
19,Raduzhnyy,RU,62.0961,77.475,34.02,96,100,8.75,overcast clouds
20,Sumbe,AO,-11.2061,13.8437,78.94,82,99,3.09,overcast clouds
21,Zhangye,CN,38.9342,100.4517,58.32,23,2,1.45,clear sky
22,New Norfolk,AU,-42.7826,147.0587,53.01,92,51,2.24,broken clouds
23,Puerto Ayora,EC,-0.7393,-90.3518,82.4,74,40,17.27,scattered clouds
24,Saint George,US,37.1041,-113.5841,82.99,12,1,8.05,clear sky
25,Kumluca,TR,36.3703,30.2869,70.95,46,65,2.46,broken clouds
26,Roald,NO,62.5833,6.1333,39.2,75,20,14.97,few clouds
27,Barrow,US,71.2906,-156.7887,19.4,86,90,9.22,mist
28,Nikolskoye,RU,59.7035,30.7861,35.6,55,0,2.24,clear sky
29,Pisco,PE,-13.7,-76.2167,69.01,83,0,6.91,clear sky
30,Thompson,CA,55.7435,-97.8558,33.8,40,75,14.97,broken clouds
31,Stadtlohn,DE,51.9833,6.9333,44.01,94,100,8.99,light rain
32,Tilichiki,RU,60.4667,166.1,31.62,99,100,0.54,overcast clouds
33,Vaini,TO,-21.2,-175.2,77.0,94,90,11.5,light rain
34,Leningradskiy,RU,69.3833,178.4167,25.16,92,100,5.1,light snow
35,Dikson,RU,73.5069,80.5464,-2.13,99,96,7.23,overcast clouds
36,Djambala,CG,-2.5447,14.7533,69.66,89,100,2.71,light rain
37,Port Elizabeth,ZA,-33.918,25.5701,57.2,94,90,12.66,light rain
38,San Antonio,US,29.4241,-98.4936,73.99,73,90,14.97,overcast clouds
39,Souillac,MU,-20.5167,57.5167,77.0,83,75,14.97,light rain
40,Hilo,US,19.7297,-155.09,84.2,51,40,9.22,scattered clouds
41,Kapaa,US,22.0752,-159.319,77.0,65,20,13.8,few clouds
42,Longyearbyen,SJ,78.2186,15.6401,21.2,53,40,10.36,scattered clouds
43,Jamestown,US,42.097,-79.2353,54.0,93,90,9.22,mist
44,Arraial Do Cabo,BR,-22.9661,-42.0278,71.6,83,75,6.91,broken clouds
45,Kovur,IN,14.4833,79.9833,79.93,84,0,9.51,clear sky
46,Buchanan,LR,5.8808,-10.0467,80.6,89,20,7.34,few clouds
47,Talnakh,RU,69.4865,88.3972,27.14,95,98,4.56,overcast clouds
48,Vila Velha,BR,-20.3297,-40.2925,73.4,83,90,16.11,overcast clouds
49,Muli,MV,2.9167,73.5667,83.05,73,5,5.82,clear sky
50,Lieksa,FI,63.3167,30.0167,30.07,91,100,4.83,overcast clouds
51,Bethel,US,41.3712,-73.414,66.2,82,90,6.91,light rain
52,Chapais,CA,49.7834,-74.8492,60.8,29,1,6.91,clear sky
53,Korla,CN,41.7597,86.1469,68.7,16,0,5.03,clear sky
54,Hithadhoo,MV,-0.6,73.0833,83.52,72,96,8.37,overcast clouds
55,Kodiak,US,57.79,-152.4072,42.8,81,90,5.75,overcast clouds
56,Yellowknife,CA,62.456,-114.3525,27.0,59,20,11.5,few clouds
57,Wanaka,NZ,-44.7,169.15,51.48,88,100,3.83,light rain
58,Tuktoyaktuk,CA,69.4541,-133.0374,23.0,74,20,17.27,few clouds
59,Furukawa,JP,38.5717,140.9556,57.2,62,20,11.5,few clouds
60,Lima,PE,-12.0432,-77.0282,72.0,73,0,11.5,clear sky
61,Kemijarvi,FI,66.7131,27.4306,30.18,90,100,10.33,overcast clouds
62,Cidreira,BR,-30.1811,-50.2056,65.61,71,0,5.84,clear sky
63,Kodinsk,RU,58.6881,99.1844,25.03,95,18,3.4,few clouds
64,Carnarvon,AU,-24.8667,113.6333,69.8,88,40,8.05,scattered clouds
65,Thayetmyo,MM,19.3167,95.1833,83.62,64,7,4.92,clear sky
66,Lebu,CL,-37.6167,-73.65,59.83,84,97,7.11,overcast clouds
67,Airai,TL,-8.9266,125.4092,59.11,90,91,2.04,overcast clouds
68,Nanortalik,GL,60.1432,-45.2371,39.38,80,13,8.37,few clouds
69,Bredasdorp,ZA,-34.5322,20.0403,55.4,82,96,4.61,overcast clouds
70,Barra Do Bugres,BR,-15.0725,-57.1811,77.29,60,100,2.08,overcast clouds
71,Santa Maria,BR,-29.6842,-53.8069,73.4,49,0,9.22,clear sky
72,Los Llanos De Aridane,ES,28.6585,-17.9182,68.0,73,0,5.75,clear sky
73,Georgetown,MY,5.4112,100.3354,79.0,94,20,5.75,few clouds
74,Rosetta,EG,31.4044,30.4164,69.8,68,0,4.61,clear sky
75,Kalmunai,LK,7.4167,81.8167,80.19,79,71,0.67,broken clouds
76,Coahuayana,MX,18.7333,-103.6833,84.2,51,90,9.22,overcast clouds
77,San Quintin,MX,30.4833,-115.95,71.04,51,0,11.86,clear sky
78,Victoria,HK,22.2855,114.1577,73.99,85,100,1.01,overcast clouds
79,Castro,BR,-24.7911,-50.0119,58.23,70,7,6.13,clear sky
80,Lagoa,PT,39.05,-27.9833,57.11,62,100,8.59,overcast clouds
81,Kudal,IN,16.0333,73.6833,79.61,76,6,1.05,clear sky
82,Bambous Virieux,MU,-20.3428,57.7575,77.0,83,75,14.97,light rain
83,Upernavik,GL,72.7868,-56.1549,33.51,65,89,2.75,overcast clouds
84,Dubbo,AU,-32.25,148.6167,46.4,93,0,12.66,clear sky
85,Kalga,RU,50.9251,118.898,27.9,92,78,5.14,broken clouds
86,Walvis Bay,NA,-22.9575,14.5053,57.99,72,0,3.44,clear sky
87,Saint Anthony,US,45.0205,-93.218,66.99,26,1,16.11,clear sky
88,Mataura,NZ,-46.1927,168.8643,53.01,84,100,11.99,overcast clouds
89,Coihaique,CL,-45.5752,-72.0662,62.6,55,40,5.75,scattered clouds
90,Panama City,PA,8.9936,-79.5197,87.8,58,40,6.91,scattered clouds
91,Torbay,CA,47.6666,-52.7314,46.99,66,75,9.22,broken clouds
92,Iqaluit,CA,63.7506,-68.5145,33.8,93,90,10.36,light rain
